msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,3,2,2,72,0,0,0,.18386364
1600,1,3,2,72,0,0,0,.029448638
1600,1,2,2,72,1,0,0,.076578163
1600,3,3,2,72,1,0,0,.20026447
1600,1,3,2,72,1,0,0,.036238253
1600,2,1,2,72,1,0,0,.074059531
1600,3,2,2,72,1,0,0,.17390876
1600,1,1,2,72,1,0,0,.043858528
1600,2,3,2,72,1,0,0,.067545198
1600,3,1,2,72,1,0,0,.081810527
1600,2,2,2,72,1,0,0,.24573658
1600,3,3,2,72,0,0,1,.20810042
1600,1,2,2,72,0,0,1,.11833176
1600,2,2,2,72,0,0,1,.18153965
1600,1,3,2,72,0,0,1,.022543427
1600,2,3,2,72,0,0,1,.03370377
1600,3,2,2,72,0,0,1,.21270046
1600,2,1,2,72,0,0,1,.059630118
1600,3,1,2,72,0,0,1,.1014336
1600,1,1,2,72,0,0,1,.062016822
1600,3,1,2,72,1,0,1,.081255831
1600,2,1,2,72,1,0,1,.058644202
1600,3,3,2,72,1,0,1,.18572681
1600,2,2,2,72,1,0,1,.1925759
1600,1,3,2,72,1,0,1,.02747006
1600,2,3,2,72,1,0,1,.037259951
1600,3,2,2,72,1,0,1,.19921941
1600,1,1,2,72,1,0,1,.072354451
1600,1,2,2,72,1,0,1,.14549339
1600,1,1,2,92,0,1,0,.028461965
1600,3,1,2,92,0,1,0,.053235758
1600,2,3,2,92,0,1,0,.084303886
1600,3,3,2,92,0,1,0,.41459182
1600,2,2,2,92,0,1,0,.089037277
1600,2,1,2,92,0,1,0,.028257508
1600,1,2,2,92,0,1,0,.076482475
1600,3,2,2,92,0,1,0,.14572075
1600,1,3,2,92,0,1,0,.079908542
1600,1,1,2,92,0,1,1,.045446631
1600,3,1,2,92,0,1,1,.049384456
1600,3,2,2,92,0,1,1,.15897928
1600,1,2,2,92,0,1,1,.15403756
1600,2,3,2,92,0,1,1,.060237184
1600,1,3,2,92,0,1,1,.06956251
1600,3,3,2,92,0,1,1,.35045019
1600,2,2,2,92,0,1,1,.088384412
1600,2,1,2,92,0,1,1,.023517786
1600,3,2,3,0,0,0,0,.19701166
1600,1,1,3,0,0,0,0,.091542006
1600,3,1,3,0,0,0,0,.11390224
1600,1,3,3,0,0,0,0,.0027951598
1600,1,2,3,0,0,0,0,.062564865
1600,2,3,3,0,0,0,0,.019732133
1600,2,2,3,0,0,0,0,.13573302
1600,3,3,3,0,0,0,0,.18880378
1600,2,1,3,0,0,0,0,.18791513
1600,2,2,3,0,0,0,1,.1303304
1600,2,3,3,0,0,0,1,.015721358
1600,3,3,3,0,0,0,1,.087811261
1600,1,1,3,0,0,0,1,.16484858
1600,3,1,3,0,0,0,1,.18008609
1600,1,3,3,0,0,0,1,.037114512
1600,2,1,3,0,0,0,1,.16054477
1600,3,2,3,0,0,0,1,.17624867
1600,1,2,3,0,0,0,1,.047294322
1600,1,2,3,11,0,1,0,.012946138
1600,2,1,3,11,0,1,0,.026941072
1600,3,1,3,11,0,1,0,.097858451
1600,2,3,3,11,0,1,0,.036390685
1600,2,2,3,11,0,1,0,.13473114
1600,3,2,3,11,0,1,0,.31765753
1600,1,1,3,11,0,1,0,.010875901
1600,3,3,3,11,0,1,0,.33968049
1600,1,3,3,11,0,1,0,.022918576
1600,2,3,3,11,0,1,1,.053284574
1600,2,1,3,11,0,1,1,.048691079
1600,1,1,3,11,0,1,1,.025124865
1600,3,2,3,11,0,1,1,.31926265
1600,3,1,3,11,0,1,1,.11396039
1600,2,2,3,11,0,1,1,.14130102
1600,3,3,3,11,0,1,1,.24303329
1600,1,2,3,11,0,1,1,.020727646
1600,1,3,3,11,0,1,1,.034614485
1600,2,2,3,21,0,1,0,.051686864
1600,3,3,3,21,0,1,0,.59511465
1600,1,3,3,21,0,1,0,.062506765
1600,3,2,3,21,0,1,0,.27087897
1600,3,1,3,21,0,1,0,.019812692
1600,3,3,3,21,0,1,1,.51372463
1600,2,2,3,21,0,1,1,.058337189
1600,1,3,3,21,0,1,1,.091915779
1600,3,2,3,21,0,1,1,.31129521
1600,3,1,3,21,0,1,1,.024727158
1600,3,1,3,22,0,1,0,.010514252
1600,2,1,3,22,0,1,0,.0077808904
1600,1,3,3,22,0,1,0,.088307671
1600,2,2,3,22,0,1,0,.12409136
1600,1,2,3,22,0,1,0,.038086679
1600,3,2,3,22,0,1,0,.19054614
1600,1,1,3,22,0,1,0,.0047564805
1600,2,3,3,22,0,1,0,.056550216
1600,3,3,3,22,0,1,0,.47936633
1600,1,2,3,22,0,1,1,.05500127
1600,1,1,3,22,0,1,1,.0097594755
1600,3,2,3,22,0,1,1,.19107462
1600,2,2,3,22,0,1,1,.12772578
